hold_strength,delay,policy,seed,turns,moves,stale_conflicts,mean_phase_error,p95_phase_error,mean_extra_hold,full_board,blue_win,yellow_win
1,1,queue_aware,2026183200,49,49,0,0.9995759356542105,2.3881519854173563,0.30612244897959184,True,False,True
1,1,blind_delay,2026183201,76,49,27,1.2976552034751574,2.8982577347225784,0.6122448979591837,True,True,False
1,1,queue_aware,2026183201,49,49,0,1.2679318559164896,3.010421948899359,0.6530612244897959,True,False,True
1,1,blind_delay,2026183202,71,49,22,1.1784078353534777,2.388916208700585,0.5510204081632653,True,False,True
1,1,queue_aware,2026183202,49,49,0,1.1693372161104252,2.785324105862613,0.5714285714285714,True,True,False
1,1,blind_delay,2026183203,78,49,29,1.298648887110169,2.772767271258254,0.673469387755102,True,False,True
1,1,queue_aware,2026183203,49,49,0,1.206525649524774,2.407009639831217,0.6938775510204082,True,True,False
1,1,blind_delay,2026183204,76,49,27,1.2566617710711347,2.840148504922272,0.7551020408163265,True,False,True
1,1,queue_aware,2026183204,49,49,0,1.1948422888583647,2.5938122248928686,0.7959183673469388,True,False,True
1,1,blind_delay,2026183205,64,49,15,1.1870232768227307,2.9066642598247725,0.3673469387755102,True,True,False
1,1,queue_aware,2026183205,49,49,0,1.1388040621772628,2.6939967929580733,0.3469387755102041,True,False,True
1,1,blind_delay,2026183206,62,49,13,1.210722332021244,3.0126680139589537,0.3673469387755102,True,True,False
1,1,queue_aware,2026183206,49,49,0,1.0843483720260072,2.818258927067841,0.3877551020408163,True,False,True
1,1,blind_delay,2026183207,58,49,9,0.9571432982100908,2.460294483192087,0.20408163265306123,True,True,False
1,1,queue_aware,2026183207,49,49,0,1.0306357696166402,2.5858884656492114,0.16326530612244897,True,False,True
1,1,blind_delay,2026183208,69,49,20,1.1127182546063896,2.709879674890243,0.5102040816326531,True,True,False
1,1,queue_aware,2026183208,49,49,0,1.0958543333220236,2.7314505673630656,0.5510204081632653,True,False,True
1,1,blind_delay,2026183209,74,49,25,1.170241210583879,2.5973399002225377,0.5714285714285714,True,True,False
1,1,queue_aware,2026183209,49,49,0,1.14391596157687,2.424031863177225,0.5714285714285714,True,True,False
1,1,blind_delay,2026183210,58,49,9,1.2306172231571892,2.9376968649369086,0.24489795918367346,True,True,False
1,1,queue_aware,2026183210,49,49,0,1.1757702979041225,2.8326147752022277,0.30612244897959184,True,False,True
1,1,blind_delay,2026183211,64,49,15,1.1503803033758413,2.4401485495343587,0.46938775510204084,True,False,True
1,1,queue_aware,2026183211,49,49,0,1.0978574623344695,2.344185126125061,0.46938775510204084,True,False,True
1,1,blind_delay,2026183212,59,49,10,1.2276089615363963,3.065485705096346,0.32653061224489793,True,False,True
1,1,queue_aware,2026183212,49,49,0,1.1612489826848111,2.8079733173750605,0.30612244897959184,True,True,False
