topology,delay,policy,seed,agents,rounds,mean_spectral_edge,mean_loop_residual,mean_receipt_age,mean_disagreement
random_4_regular,2,queue_aware,2026193808,24,120,0.0,0.23529411764705888,0.0,0.09606197737075368
random_4_regular,2,blind_delay,2026193809,24,120,1.7280651607488198,0.018451681819585636,0.9916666666666667,0.08016084932808375
random_4_regular,2,queue_aware,2026193809,24,120,0.0,0.23529411764705888,0.0,0.08292388615875929
random_4_regular,2,blind_delay,2026193810,24,120,1.7409146162561797,0.012429845423608542,0.9916666666666667,0.10477205172660316
random_4_regular,2,queue_aware,2026193810,24,120,0.0,0.23529411764705888,0.0,0.11507566579419164
random_4_regular,2,blind_delay,2026193811,24,120,1.756192920415266,0.005511661045509301,0.9916666666666667,0.09433754146601712
random_4_regular,2,queue_aware,2026193811,24,120,0.0,0.23529411764705888,0.0,0.10944631906978
random_4_regular,2,blind_delay,2026193812,24,120,1.6691290424647467,0.029568254878420176,0.9916666666666667,0.06821804948874609
random_4_regular,2,queue_aware,2026193812,24,120,0.0,0.23529411764705888,0.0,0.06966586068605089
random_4_regular,2,blind_delay,2026193813,24,120,1.8458732247152028,0.019061110546577522,0.9916666666666667,0.08957568113704774
random_4_regular,2,queue_aware,2026193813,24,120,0.0,0.23529411764705888,0.0,0.09708520998017588
random_4_regular,2,blind_delay,2026193814,24,120,1.8507869973937308,0.025347033946367843,0.9916666666666667,0.09270858366368899
random_4_regular,2,queue_aware,2026193814,24,120,0.0,0.23529411764705888,0.0,0.10582555747454674
random_4_regular,3,blind_delay,2026203800,24,120,1.7685661830780135,0.014952292161923807,1.975,0.0718166133646589
random_4_regular,3,queue_aware,2026203800,24,120,0.0,0.23529411764705888,0.0,0.07478834676642084
random_4_regular,3,blind_delay,2026203801,24,120,1.6186197307727221,0.02214837377778365,1.975,0.07182391333696758
random_4_regular,3,queue_aware,2026203801,24,120,0.0,0.23529411764705888,0.0,0.07965565627450569
random_4_regular,3,blind_delay,2026203802,24,120,1.7735158439663452,0.013431456053196874,1.975,0.07942701675158016
random_4_regular,3,queue_aware,2026203802,24,120,0.0,0.23529411764705888,0.0,0.089433683849702
random_4_regular,3,blind_delay,2026203803,24,120,1.8594784915565123,0.016236296606401076,1.975,0.0673710772324077
random_4_regular,3,queue_aware,2026203803,24,120,0.0,0.23529411764705888,0.0,0.07114496515716179
random_4_regular,3,blind_delay,2026203804,24,120,1.7015038580128485,0.018036563199399534,1.975,0.08377503060829379
random_4_regular,3,queue_aware,2026203804,24,120,0.0,0.23529411764705888,0.0,0.09442655652469295
random_4_regular,3,blind_delay,2026203805,24,120,1.6933356043104026,0.01899862729698587,1.975,0.08521038078883188
random_4_regular,3,queue_aware,2026203805,24,120,0.0,0.23529411764705888,0.0,0.09486988045642092
random_4_regular,3,blind_delay,2026203806,24,120,1.6820980055592236,0.02399783160323417,1.975,0.08706228173955174
random_4_regular,3,queue_aware,2026203806,24,120,0.0,0.23529411764705888,0.0,0.09716650169699609
random_4_regular,3,blind_delay,2026203807,24,120,1.637630594802306,0.03118220576718401,1.975,0.088806698978745
random_4_regular,3,queue_aware,2026203807,24,120,0.0,0.23529411764705888,0.0,0.09824822605342311
random_4_regular,3,blind_delay,2026203808,24,120,1.6506765700071948,0.026883066970379565,1.975,0.07726601549411412
random_4_regular,3,queue_aware,2026203808,24,120,0.0,0.23529411764705888,0.0,0.08185855533134458
random_4_regular,3,blind_delay,2026203809,24,120,1.5531619878376195,0.04826008500405968,1.975,0.08306672662268412
random_4_regular,3,queue_aware,2026203809,24,120,0.0,0.23529411764705888,0.0,0.09294169017485933
random_4_regular,3,blind_delay,2026203810,24,120,1.7187685808874014,0.012437829674989048,1.975,0.08338799805760053
random_4_regular,3,queue_aware,2026203810,24,120,0.0,0.23529411764705888,0.0,0.08858126730941253
random_4_regular,3,blind_delay,2026203811,24,120,1.901363962844733,0.030147744797433304,1.975,0.07397503282608651
random_4_regular,3,queue_aware,2026203811,24,120,0.0,0.23529411764705888,0.0,0.08266268738994915
random_4_regular,3,blind_delay,2026203812,24,120,1.721949184583494,0.022936315162876968,1.975,0.08178465865460918
random_4_regular,3,queue_aware,2026203812,24,120,0.0,0.23529411764705888,0.0,0.09061116061803004
random_4_regular,3,blind_delay,2026203813,24,120,1.7211462242618365,0.01667368425575472,1.975,0.07155873251410678
random_4_regular,3,queue_aware,2026203813,24,120,0.0,0.23529411764705888,0.0,0.08015000466947736
random_4_regular,3,blind_delay,2026203814,24,120,1.7054197272467866,0.021895462738002136,1.975,0.07991764768512631
random_4_regular,3,queue_aware,2026203814,24,120,0.0,0.23529411764705888,0.0,0.08533250721062637
random_4_regular,5,blind_delay,2026223800,24,120,1.621745960989754,0.033756074081116715,3.9166666666666665,0.0806992363635571
random_4_regular,5,queue_aware,2026223800,24,120,0.0,0.23529411764705888,0.0,0.08788684138989936
random_4_regular,5,blind_delay,2026223801,24,120,1.6421283993626816,0.03663942498432073,3.9166666666666665,0.08485014329799948
random_4_regular,5,queue_aware,2026223801,24,120,0.0,0.23529411764705888,0.0,0.0982362240182498
random_4_regular,5,blind_delay,2026223802,24,120,1.6362967190978963,0.03595407823432173,3.9166666666666665,0.07865941120583887
random_4_regular,5,queue_aware,2026223802,24,120,0.0,0.23529411764705888,0.0,0.09300620558961319
random_4_regular,5,blind_delay,2026223803,24,120,1.641267732672282,0.029456511977107584,3.9166666666666665,0.06926994359228202
random_4_regular,5,queue_aware,2026223803,24,120,0.0,0.23529411764705888,0.0,0.0750633489484923
random_4_regular,5,blind_delay,2026223804,24,120,1.6745599677958667,0.013657061469754856,3.9166666666666665,0.08226037777469157
random_4_regular,5,queue_aware,2026223804,24,120,0.0,0.23529411764705888,0.0,0.08720030086973705
random_4_regular,5,blind_delay,2026223805,24,120,1.8283807610859824,0.026447564974238637,3.9166666666666665,0.09043960717622121
random_4_regular,5,queue_aware,2026223805,24,120,0.0,0.23529411764705888,0.0,0.14000854807816623
random_4_regular,5,blind_delay,2026223806,24,120,1.7261018295702466,0.019385706066392887,3.9166666666666665,0.07167975480693721
random_4_regular,5,queue_aware,2026223806,24,120,0.0,0.23529411764705888,0.0,0.07862428025915831
random_4_regular,5,blind_delay,2026223807,24,120,1.7341502529263855,0.015966285207944783,3.9166666666666665,0.07801867621617846
random_4_regular,5,queue_aware,2026223807,24,120,0.0,0.23529411764705888,0.0,0.08422483144829732
random_4_regular,5,blind_delay,2026223808,24,120,1.6734945024839187,0.025871228064758483,3.9166666666666665,0.07178322549169727
random_4_regular,5,queue_aware,2026223808,24,120,0.0,0.23529411764705888,0.0,0.07251379618715045
random_4_regular,5,blind_delay,2026223809,24,120,1.693015216664063,0.01952535294251093,3.9166666666666665,0.08487564886663078
random_4_regular,5,queue_aware,2026223809,24,120,0.0,0.23529411764705888,0.0,0.11811566119027489
random_4_regular,5,blind_delay,2026223810,24,120,1.5655915914260872,0.05864701722667474,3.9166666666666665,0.07351768109316385
random_4_regular,5,queue_aware,2026223810,24,120,0.0,0.23529411764705888,0.0,0.08063554493895704
random_4_regular,5,blind_delay,2026223811,24,120,1.6584748700644836,0.03638508733201632,3.9166666666666665,0.07245327025648816
random_4_regular,5,queue_aware,2026223811,24,120,0.0,0.23529411764705888,0.0,0.07572304497767159
random_4_regular,5,blind_delay,2026223812,24,120,1.6300416212510171,0.028432183356086528,3.9166666666666665,0.08166090008683989
random_4_regular,5,queue_aware,2026223812,24,120,0.0,0.23529411764705888,0.0,0.09330375945808492
random_4_regular,5,blind_delay,2026223813,24,120,1.5881097515934082,0.03490183417526938,3.9166666666666665,0.07954459662737372
random_4_regular,5,queue_aware,2026223813,24,120,0.0,0.23529411764705888,0.0,0.09968147373059659
random_4_regular,5,blind_delay,2026223814,24,120,1.7897938029339144,0.00749520364431554,3.9166666666666665,0.08363132799304149
random_4_regular,5,queue_aware,2026223814,24,120,0.0,0.23529411764705888,0.0,0.09694823735450434
two_block,0,blind_delay,2026273800,24,120,0.0,0.23529411764705888,0.0,0.13596906538160006
two_block,0,queue_aware,2026273800,24,120,0.0,0.23529411764705888,0.0,0.13596906538160006
two_block,0,blind_delay,2026273801,24,120,0.0,0.23529411764705888,0.0,0.13882585073447512
two_block,0,queue_aware,2026273801,24,120,0.0,0.23529411764705888,0.0,0.13882585073447512
two_block,0,blind_delay,2026273802,24,120,0.0,0.23529411764705888,0.0,0.14015065552626726
two_block,0,queue_aware,2026273802,24,120,0.0,0.23529411764705888,0.0,0.14015065552626726
two_block,0,blind_delay,2026273803,24,120,0.0,0.23529411764705888,0.0,0.13872531472656363
two_block,0,queue_aware,2026273803,24,120,0.0,0.23529411764705888,0.0,0.13872531472656363
two_block,0,blind_delay,2026273804,24,120,0.0,0.23529411764705888,0.0,0.13720196459852127
two_block,0,queue_aware,2026273804,24,120,0.0,0.23529411764705888,0.0,0.13720196459852127
two_block,0,blind_delay,2026273805,24,120,0.0,0.23529411764705888,0.0,0.13819950365894976
two_block,0,queue_aware,2026273805,24,120,0.0,0.23529411764705888,0.0,0.13819950365894976
two_block,0,blind_delay,2026273806,24,120,0.0,0.23529411764705888,0.0,0.13953366482291066
two_block,0,queue_aware,2026273806,24,120,0.0,0.23529411764705888,0.0,0.13953366482291066
two_block,0,blind_delay,2026273807,24,120,0.0,0.23529411764705888,0.0,0.13725939037985782
two_block,0,queue_aware,2026273807,24,120,0.0,0.23529411764705888,0.0,0.13725939037985782
two_block,0,blind_delay,2026273808,24,120,0.0,0.23529411764705888,0.0,0.14020082290824393
two_block,0,queue_aware,2026273808,24,120,0.0,0.23529411764705888,0.0,0.14020082290824393
two_block,0,blind_delay,2026273809,24,120,0.0,0.23529411764705888,0.0,0.13595642332495514
two_block,0,queue_aware,2026273809,24,120,0.0,0.23529411764705888,0.0,0.13595642332495514
two_block,0,blind_delay,2026273810,24,120,0.0,0.23529411764705888,0.0,0.1385703065073426
two_block,0,queue_aware,2026273810,24,120,0.0,0.23529411764705888,0.0,0.1385703065073426
two_block,0,blind_delay,2026273811,24,120,0.0,0.23529411764705888,0.0,0.14087715691155864
two_block,0,queue_aware,2026273811,24,120,0.0,0.23529411764705888,0.0,0.14087715691155864
two_block,0,blind_delay,2026273812,24,120,0.0,0.23529411764705888,0.0,0.13863187383189976
two_block,0,queue_aware,2026273812,24,120,0.0,0.23529411764705888,0.0,0.13863187383189976
two_block,0,blind_delay,2026273813,24,120,0.0,0.23529411764705888,0.0,0.13720096068596951
two_block,0,queue_aware,2026273813,24,120,0.0,0.23529411764705888,0.0,0.13720096068596951
two_block,0,blind_delay,2026273814,24,120,0.0,0.23529411764705888,0.0,0.13873475265704566
two_block,0,queue_aware,2026273814,24,120,0.0,0.23529411764705888,0.0,0.13873475265704566
two_block,1,blind_delay,2026283800,24,120,0.0,0.23529411764705888,0.0,0.14074143835352437
two_block,1,queue_aware,2026283800,24,120,0.0,0.23529411764705888,0.0,0.14074143835352437
two_block,1,blind_delay,2026283801,24,120,0.0,0.23529411764705888,0.0,0.13499603670848917
two_block,1,queue_aware,2026283801,24,120,0.0,0.23529411764705888,0.0,0.13499603670848917
two_block,1,blind_delay,2026283802,24,120,0.0,0.23529411764705888,0.0,0.13608027411625065
two_block,1,queue_aware,2026283802,24,120,0.0,0.23529411764705888,0.0,0.13608027411625065
two_block,1,blind_delay,2026283803,24,120,0.0,0.23529411764705888,0.0,0.14064549351114022
two_block,1,queue_aware,2026283803,24,120,0.0,0.23529411764705888,0.0,0.14064549351114022
two_block,1,blind_delay,2026283804,24,120,0.0,0.23529411764705888,0.0,0.13636384878547622
two_block,1,queue_aware,2026283804,24,120,0.0,0.23529411764705888,0.0,0.13636384878547622
two_block,1,blind_delay,2026283805,24,120,0.0,0.23529411764705888,0.0,0.13617157866165333
two_block,1,queue_aware,2026283805,24,120,0.0,0.23529411764705888,0.0,0.13617157866165333
two_block,1,blind_delay,2026283806,24,120,0.0,0.23529411764705888,0.0,0.140931985980136
two_block,1,queue_aware,2026283806,24,120,0.0,0.23529411764705888,0.0,0.140931985980136
two_block,1,blind_delay,2026283807,24,120,0.0,0.23529411764705888,0.0,0.1368158709803966
two_block,1,queue_aware,2026283807,24,120,0.0,0.23529411764705888,0.0,0.1368158709803966
two_block,1,blind_delay,2026283808,24,120,0.0,0.23529411764705888,0.0,0.1393891185134372
two_block,1,queue_aware,2026283808,24,120,0.0,0.23529411764705888,0.0,0.1393891185134372
two_block,1,blind_delay,2026283809,24,120,0.0,0.23529411764705888,0.0,0.14077362550377268
two_block,1,queue_aware,2026283809,24,120,0.0,0.23529411764705888,0.0,0.14077362550377268
two_block,1,blind_delay,2026283810,24,120,0.0,0.23529411764705888,0.0,0.13936439692421204
two_block,1,queue_aware,2026283810,24,120,0.0,0.23529411764705888,0.0,0.13936439692421204
two_block,1,blind_delay,2026283811,24,120,0.0,0.23529411764705888,0.0,0.1393919843287863
two_block,1,queue_aware,2026283811,24,120,0.0,0.23529411764705888,0.0,0.1393919843287863
two_block,1,blind_delay,2026283812,24,120,0.0,0.23529411764705888,0.0,0.1403423384621753
two_block,1,queue_aware,2026283812,24,120,0.0,0.23529411764705888,0.0,0.1403423384621753
two_block,1,blind_delay,2026283813,24,120,0.0,0.23529411764705888,0.0,0.13579643216964038
two_block,1,queue_aware,2026283813,24,120,0.0,0.23529411764705888,0.0,0.13579643216964038
two_block,1,blind_delay,2026283814,24,120,0.0,0.23529411764705888,0.0,0.14137284693251703
two_block,1,queue_aware,2026283814,24,120,0.0,0.23529411764705888,0.0,0.14137284693251703
two_block,2,blind_delay,2026293800,24,120,1.9382171338603509,0.13008232474206036,0.9916666666666667,0.12349450110461234
two_block,2,queue_aware,2026293800,24,120,0.0,0.23529411764705888,0.0,0.13887662119714025
two_block,2,blind_delay,2026293801,24,120,1.9382171338603509,0.13008232474206036,0.9916666666666667,0.1260262809599956
two_block,2,queue_aware,2026293801,24,120,0.0,0.23529411764705888,0.0,0.13640521092293506
two_block,2,blind_delay,2026293802,24,120,1.9382171338603509,0.13008232474206036,0.9916666666666667,0.1257425260391587
two_block,2,queue_aware,2026293802,24,120,0.0,0.23529411764705888,0.0,0.13635702069020147
