delay,policy,seed,agents,rounds,mean_spectral_edge,p95_spectral_edge,mean_abs_spectral_edge,mean_loop_residual,p95_loop_residual,mean_resolvent_norm,mean_single_entry_delta_m,mean_stability_proxy,mean_delta_to_proxy_ratio,mean_derivative_relative_error,mean_receipt_age,mean_disagreement,max_disagreement,spectral_edge_exceedance_rate,state_overshoot_count,high_age_tail,high_loop_tail,high_disagreement_tail
3,queue_aware,2026103607,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3560192236212155,0.7416178537082694,0.0,0,0,1,0
3,blind_delay,2026103608,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.22103401311906312,0.42856087659544767,0.0,0,0,0,0
3,queue_aware,2026103608,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.35484888160952016,0.6236956923973432,0.0,0,0,1,0
3,blind_delay,2026103609,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.24247195339140432,0.5413769402097193,0.0,0,0,0,0
3,queue_aware,2026103609,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.37079242693603176,0.8106418247212672,0.0,0,0,1,0
3,blind_delay,2026103610,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.23971131260834871,0.5401432835780144,0.0,0,0,0,0
3,queue_aware,2026103610,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3667772592600204,0.8081565747734898,0.0,0,0,1,0
3,blind_delay,2026103611,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.22096558110456843,0.4198152369062524,0.0,0,0,0,0
3,queue_aware,2026103611,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.35323520329258545,0.5969381282513729,0.0,0,0,1,0
3,blind_delay,2026103612,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.2252537085284056,0.3973502253776332,0.0,0,0,0,0
3,queue_aware,2026103612,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3511830580088813,0.54126577217671,0.0,0,0,1,0
3,blind_delay,2026103613,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.2452758504726655,0.5504248101664494,0.0,0,0,0,0
3,queue_aware,2026103613,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3675161840794609,0.811597104704357,0.0,0,0,1,0
3,blind_delay,2026103614,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.21975006637597566,0.3946578106428566,0.0,0,0,0,0
3,queue_aware,2026103614,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.35077015425210994,0.5486268489285754,0.0,0,0,1,0
3,blind_delay,2026103615,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.2257498434235958,0.4507839693460953,0.0,0,0,0,0
3,queue_aware,2026103615,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.35072992863301095,0.6641272160833317,0.0,0,0,1,0
3,blind_delay,2026103616,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.2218747441997412,0.4294471099158584,0.0,0,0,0,0
3,queue_aware,2026103616,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.34890740675589904,0.6302177075319825,0.0,0,0,1,0
3,blind_delay,2026103617,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.23840329858281312,0.5232681091957903,0.0,0,0,0,0
3,queue_aware,2026103617,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.368477870733717,0.7837801116716389,0.0,0,0,1,0
3,blind_delay,2026103618,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.2220777000817683,0.43239253469106015,0.0,0,0,0,0
3,queue_aware,2026103618,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3559823713030493,0.6417195855139608,0.0,0,0,1,0
3,blind_delay,2026103619,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.23572409614094908,0.5085513233081416,0.0,0,0,0,0
3,queue_aware,2026103619,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3585990103420505,0.7508160926038305,0.0,0,0,1,0
3,blind_delay,2026103620,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.2242161132473806,0.46220834150576906,0.0,0,0,0,0
