delay,policy,seed,agents,rounds,cooperation_rate,mean_payoff_per_action,stale_retaliations,forgiving_actions,defection_bursts
5,blind_tft,2026123531,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123531,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123532,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123532,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123533,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123533,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123534,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123534,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123535,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123535,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123536,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123536,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123537,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123537,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123538,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123538,12,200,1.0,3.0,0,120,0
5,blind_tft,2026123539,12,200,1.0,3.0,0,0,0
5,queue_aware_forgiving,2026123539,12,200,1.0,3.0,0,120,0
