policy,step,helicopter,pad,x,y,z,phase,clearance_issued,clearance_delivered,message_age,slot_start,slot_end,clearance_version,decision,accepted,stale_rejected,conflict_step
delay_blind,23,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,24,0,0,7.022005969275195,6.6125909373391965,5.24019691533773,approach,10,11,14,12,24,1,accept_clearance,1,0,0
delay_blind,24,1,1,12.15754631627168,9.254653541651278,6.422969665907274,approach,12,17,12,14,26,2,accept_clearance,1,0,0
delay_blind,24,2,2,6.305818551953066,15.424504594974692,5.831583290622502,approach,14,14,10,16,28,3,accept_clearance,1,0,0
delay_blind,24,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,24,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,24,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,24,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,24,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,25,0,0,6.887839760708695,6.585394100436617,5.043068123576139,approach,10,11,15,12,24,1,accept_clearance,1,0,0
delay_blind,25,1,1,12.081907548188857,9.140552637967179,6.225840874145684,approach,12,17,13,14,26,2,accept_clearance,1,0,0
delay_blind,25,2,2,6.333015388855645,15.290338386408191,5.6344544988609115,approach,14,14,11,16,28,3,accept_clearance,1,0,0
delay_blind,25,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,1,26,38,4,waiting,0,0,0
delay_blind,25,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,25,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,25,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,25,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,26,0,0,6.753673552142194,6.558197263534038,4.845939331814549,approach,10,11,16,12,24,1,accept_clearance,1,0,0
delay_blind,26,1,1,12.006268780106033,9.02645173428308,6.028712082384093,approach,12,17,14,14,26,2,accept_clearance,1,0,0
delay_blind,26,2,2,6.360212225758224,15.15617217784169,5.437325707099321,approach,14,14,12,16,28,3,accept_clearance,1,0,0
delay_blind,26,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,2,26,38,4,waiting,0,0,0
delay_blind,26,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,26,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,26,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,26,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,27,0,0,6.619507343575694,6.531000426631459,4.648810540052958,approach,10,11,17,12,24,1,accept_clearance,1,0,0
delay_blind,27,1,1,11.930630012023212,8.91235083059898,5.831583290622502,approach,12,17,15,14,26,2,accept_clearance,1,0,0
delay_blind,27,2,2,6.3874090626608035,15.022005969275188,5.240196915337729,approach,14,14,13,16,28,3,accept_clearance,1,0,0
delay_blind,27,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,3,26,38,4,waiting,0,0,0
delay_blind,27,4,1,5.233833319360293,5.033850182927273,7.802871208238409,approach,26,27,1,28,40,5,accept_clearance,1,0,0
delay_blind,27,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,27,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,27,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,28,0,0,6.485341135009193,6.5038035897288795,4.451681748291367,approach,10,11,18,12,24,1,accept_clearance,1,0,0
delay_blind,28,1,1,11.854991243940388,8.798249926914881,5.6344544988609115,approach,12,17,16,14,26,2,accept_clearance,1,0,0
delay_blind,28,2,2,6.414605899563383,14.887839760708687,5.043068123576138,approach,14,14,14,16,28,3,accept_clearance,1,0,0
delay_blind,28,3,0,-0.053359867439982306,8.687017692851446,7.802871208238409,approach,24,28,4,26,38,4,accept_clearance,1,0,0
