policy,step,active_nodes,edge_count,mean_degree,max_degree,network_density,components,largest_component,algebraic_connectivity,triangles
queue_aware,140,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,141,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,142,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,143,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,144,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,145,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,146,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,147,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,148,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,149,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,150,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,151,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,152,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,153,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,154,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,155,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,156,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,157,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,158,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,159,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,160,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,161,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,162,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,163,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,164,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,165,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,166,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,167,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,168,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,169,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,170,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,171,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,172,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,173,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,174,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,175,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,176,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,177,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,178,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,179,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
